k_E,k_M,k_CD,k_CDS,k_R,k_RE,k_b,k_CE,k_I,k_P1,k_P2,k_DP,d_M,d_E,d_CD,d_CE,d_R,d_RP,d_RE,d_I,K_S,K_M,K_E,K_CD,K_CE,K_RP,K_P1,K_P2,off_thresh
0.5119,4.1973,0.0082,0.2349,0.0736,177.6961,0.0003,0.1674,0.059,6.5054,139.7131,6.0747,4.6989,0.0717,0.1861,2.464,0.079,0.026,0.1893,1.2152,0.9894,1.0677,0.0395,0.6444,1.1242,0.0479,2.6698,12.7366,1.0560512436788947
0.212,0.1053,0.1416,0.0739,0.0369,1215.8368,0.0011,0.1521,0.0765,10.4293,14.8127,3.2883,1.6888,0.0712,0.4027,3.1677,0.4388,0.1349,0.0864,0.3706,4.4401,0.0446,0.0401,4.9048,0.6867,0.0038,0.2017,0.4764,7.2665371521753555
0.1098,5.7538,0.0126,1.3427,0.1409,1149.1985,0.0261,0.3945,0.0503,187.418,187.153,0.6751,1.0887,0.0542,10.6572,1.4264,0.0077,0.1235,0.0242,0.111,0.8126,0.6289,0.6589,1.8661,0.4065,0.0046,17.0135,0.2784,3.930682262109677
0.1046,2.6557,0.1194,0.3399,0.3673,116.8217,0.0151,0.0461,0.1715,322.5241,220.8027,2.4976,0.0904,0.2376,2.9514,1.3375,0.0925,0.5106,0.0326,1.9506,0.1015,1.0608,0.0875,3.1260000000000003,0.2686,0.0041,8.2509,2.5023,0.61161270030853
2.7173,0.3095,0.0799,0.0813,0.3258,227.5609,0.0139,0.0416,0.0399,42.8782,218.5229,2.8396,0.1503,0.3271,0.5872,4.3685,0.2227,0.0739,0.0228,0.9347,4.2386,0.4112,0.1647,7.0501,3.6448,0.0011,0.3925,1.2723,0.7131672395025093
0.0793,2.7213,0.0062,1.6592,0.2369,291.7365,0.0057,3.4394,0.1105,32.1939,78.6904,0.4185,0.2062,0.0342,2.0102,2.3097,0.0254,0.0504,0.26,0.1197,0.2665,0.2733,0.6385,1.2771,2.3382,0.0022,2.3845,6.2155,0.9056702510075936
0.6641,1.331,0.0069,2.168,0.1022,976.5060000000001,0.0112,0.1386,0.0422,6.6481,107.7094,1.4884,0.3939999999999999,0.0552,14.7607,0.3622,0.0808,0.1028,0.0134,0.0329,3.9571,0.1259,0.0587,0.256,8.1418,0.0163,1.6549,5.9921,6.786977918073822
0.1048,5.6555,0.0047,0.3541,0.0625,61.9942,0.0065,0.1994,0.8223,10.1513,119.721,0.4937,0.0916,0.0267,0.4025,10.9971,0.4206,0.4042,0.0092,1.0651,1.9456,0.0653,1.1526,0.115,3.2417,0.0267,8.8436,1.2421,0.921261385208434
0.1465,2.3384,0.0059,0.3162,0.0649,549.4069,0.0035,0.5705,0.0209,52.6807,201.8605,0.7665,0.3823,0.1504,6.6089,0.2728,0.1758,0.3127,0.0033,1.6146,3.1087,0.1246,0.662,0.2691,4.3739,0.0369,4.756,1.2224,1.003336694441452
0.9822,0.1302,0.0095,4.1358,0.4594,72.8208,0.001,0.1773,0.8091,9.6872,133.0516,1.491,0.3995,0.0271,0.418,0.4379,0.2626,0.1304,0.0072,0.1428,0.5283,0.4435,1.1828,2.7462,4.823,0.0084,10.6603,3.7926,1.7324279948062888
3.111,2.4893,0.0532,2.0047,0.6831,304.3194,0.0009,1.7712,0.2761,96.2034,4.9221,22.6448,0.2366,1.3757,1.0017,0.7206,0.5647,0.1066,0.0214,1.3555,3.637,0.0474,0.28,1.6512,4.3911,0.0024,12.768,12.1808,3.734475738152657
1.4569999999999999,2.6464,0.0097,1.5782,0.0184,125.4855,0.0022,0.0508,0.4779,4.8079,27.0683,0.6617,2.8075,0.2333,3.9844,11.582,0.0139,0.0339,0.0225,1.1674,1.1451,1.1707,0.5218,2.7604,0.2898,0.0016,0.5857,1.721,1.1306704824187126
1.5374,0.2054,0.1391,0.0896,0.1546,128.9524,0.0083,0.5536,0.7751,40.8541,11.8917,27.9948,0.9095,0.0259,0.1593,0.9229,0.0633,0.5146,0.2391,0.1968,1.0747,0.0646,0.6973,0.3703,4.0706,0.003,1.2398,1.2283,3.257823246883944
0.0521,6.3095,0.0242,1.9907,0.018000000000000002,237.9168,0.0073,0.5078,0.4278,7.6438,45.0532,1.332,0.3058,0.0402,8.8562,5.4992,0.28,0.3547,0.0186,0.0735,0.7281,0.7852,0.1752,0.1529,1.4167,0.0277,2.9077,2.0963,0.5156426595119222
1.4038,2.1978,0.075,2.9175,0.0728,548.1277,0.0102,0.0906,0.0409999999999999,8.6635,34.5888,31.4175,5.5297,0.2664,0.2004,14.201,0.249,0.5452,0.0109,2.7282,0.8728,0.8616,0.3566,0.2143,5.1678,0.0012,18.0167,6.2823,2.2000568870820585
0.134,0.3693,0.0032,0.1072,0.1273,1198.5476,0.0004,1.9194,0.1912,5.674,358.047,5.9537,1.8977,0.0893,0.6226,4.1258,0.0452,0.0121,0.0078,0.0601,0.6175,1.0112,0.0482,0.4415,0.5661,0.002,1.4377,4.9127,3.0952035965756077
0.5391,0.2641,0.0208,0.4535,0.0511,745.4312,0.0011,0.3126,0.0782,44.2669,23.5799,0.6903,0.1418,0.2418,0.151,5.283,0.472,0.0083,0.0285,0.107,1.6122,1.002,0.0424,6.8839,1.193,0.0046,15.7417,5.2521,0.7506365055719758
0.2933,1.318,0.0184,0.2216,0.0813,195.3656,0.0015,3.2471,0.2884,125.8863,47.9238,21.4902,0.1456,0.0406,0.3215,0.1626,0.0272,0.1046,0.0125,0.0649,2.4334,0.1698,1.0914,0.1835,2.7256,0.0691,1.3852,2.7287,1.111535375367275
1.892,0.1328,0.0094,0.0928,0.0195,524.2638,0.0022,1.4081,0.9138,13.269,26.0471,25.8716,0.1262,1.6451,0.1609,0.3706,0.0613,0.4237,0.1477,0.1323,2.2842,1.4708,0.036,1.3043,1.8549,0.0398,0.2583,0.2126,0.5810830380429529
1.6155,9.1929,0.0105,0.5935,0.1063,90.8777,0.0027,2.5267,0.0859,13.2195,41.9759,6.3557,3.0367,0.25,0.4051,2.6292,0.1005,0.2422,0.2383,0.1756,4.6562,0.5044,0.4928,2.8904,0.8789,0.0359,14.1458,0.485,0.5910863959073416
0.1054,0.6829999999999999,0.0078,0.7237,0.2339,1008.9129,0.0018,0.5335,0.017,135.3083,66.5591,31.6485,0.8027,0.0344,3.1626,0.2075,0.3531,0.4704,0.0087,0.3412,2.7445,0.0365,0.5301,3.2349,0.2687,0.0125,0.2674,2.5766,9.54842512720799
0.3617,3.0444,0.0077,0.0786,0.0653,124.27600000000001,0.0095,0.0789,0.0853,210.3586,13.0104,12.1999,4.434,0.0289999999999999,2.6156,12.4145,0.1194,0.0154,0.0238,0.0321,1.065,0.5422,0.2584,0.1938,5.9279,0.0036,0.4962,6.4106,1.485731403944893
2.0959,2.1332,0.044000000000000004,1.0745,0.7255,163.3445,0.0008,0.7152,0.4915,106.5506,29.9586,8.4169,0.8647,0.0874,2.8895,0.5714,0.0184,0.05,0.0064,0.0434,2.5502,0.0152,0.2439,0.3476,0.1855,0.0353,1.4786,2.3017,0.7506365055719758
0.3787,0.442,0.0394,0.7040000000000001,0.0288,26.0209,0.003,0.0909,0.0848,101.5822,57.5391,32.3478,0.368,0.0259,4.3329,4.0238,0.1019,0.0181,0.0365,0.0438,4.2735,0.3193,0.5564,1.5672,0.5512,0.003,2.5901,0.9541,0.8752750952989159
0.5553,2.0175,0.062,0.3158,0.1753,36.6079,0.002,0.0457,0.9345,66.3593,101.7182,1.4868,3.3126,0.0758,0.6974,0.4912,0.2513,0.0444,0.2337,0.4249,4.0956,0.1826,0.2679,4.5609,0.1392,0.0099,0.6624,1.2577,2.090237398876876
1.0968,2.1179,0.1127,4.3007,0.31,1366.6389,0.0025,0.1654,0.1964,58.9881,11.1258,27.1293,0.1559,2.4302,3.6065,12.013,0.0631,0.0226,0.2818,0.2508,0.7541,0.1574,0.06,0.1151,0.8667,0.0012,4.9907,16.5178,1.0381789688527476
0.6403,0.3905,0.0041,0.1494,0.45399999999999996,1033.8421,0.0032,1.6288,0.8027,155.5384,322.0064,4.4045,0.8606,0.0876,0.4634,3.3760000000000003,0.0143,0.1929,0.0138,1.0983,0.2957,0.5904,0.5408,0.1898,0.3054,0.0046,9.9131,3.9455,0.6548284764120079
0.8668,3.1071,0.134,0.0977,1.1571,69.4061,0.0004,0.1421,0.0203,11.6645,68.8888,0.5498,5.7481,0.3195,0.1514,0.2085,0.2691,0.044,0.099,1.9948,1.3942,0.1614,0.5279,0.2813,5.4676,0.006,7.023,10.5027,2.2764569491996385
0.5283,5.3069,0.0076,0.3583,1.5296,359.3867,0.0133,1.0885,0.1823,21.5291,7.3339,0.9939,0.2283,0.4349,0.7544,3.7409,0.1904,0.0205,0.0436,2.7342,4.4459,0.4388,0.0621,4.8156,3.9836,0.0458,0.4697,0.9953,2.4792668260283945
0.8324,0.2309,0.2689,0.0721,0.0393,111.2833,0.0067,0.4014,0.3622,169.1818,39.3631,0.8519,1.9761,0.0795,4.0047,5.7228,0.1053,0.0092,0.0534,2.9347,3.4444,0.0232,0.2917,1.0206,5.1907,0.0068,13.6494,16.0285,0.6328518094287703
1.2017,5.3802,0.1025,0.0897,0.4217,128.695,0.0055,0.0968,0.0834,282.0948,103.9189,5.2495,0.7401,0.0346,0.7094,10.3906,0.0132,0.4024,0.0559,0.0509,2.3384,0.6416,1.0364,0.3688,1.0075,0.0048,12.1217,4.5051,7.779981432285307
0.1143,8.2542,0.0116,0.1905,1.6526,86.7419,0.0032,0.7555,0.5619,198.0291,92.3959,0.408,1.8764,0.8815,5.9815,0.3383,0.4238,0.1595,0.0032,0.0953,1.1664,1.1272,0.0583,1.9283,0.5093,0.002,1.1062,19.4307,3.998349047654674
0.5842,1.151,0.1577,2.0884,1.1416,45.5542,0.0029,0.6053,0.889,6.2416,14.6415,8.9402,0.126,0.8503,0.4621,0.239,0.0913,0.0341,0.1535,0.4951,0.3804,0.0895,0.051,0.1449,1.1762,0.0124,2.964,14.0966,0.953253479353692
0.3472,0.1774,0.0064,4.0906,1.5711,572.1907,0.0036,1.4737,0.0922,16.2647,7.2672,5.4555,0.6501,0.0259,1.8153,0.7023,0.5807,0.0063,0.0037,0.7848,0.2185,0.2183,0.05,7.1633,2.8033,0.0044,2.0427,10.0935,0.921261385208434
1.074,0.4584,0.0112,0.0498,0.902,320.1877,0.0038,1.5033,0.4422,46.9886,99.9265,0.3631,5.4998,0.0627,7.6253,2.4034,0.2791,0.026,0.0593,0.3462,1.1437,0.8009,0.0324,1.4051,3.6529,0.0248,1.3609,0.4251,1.485731403944893
2.6267,0.8142,0.19699999999999998,1.2676,1.4569,498.0693,0.0004,0.0953,0.6187,163.2094,23.4772,0.3812,0.1147,0.1398,12.8628,1.6207,0.5196,0.2783,0.1899,0.8477,4.8804,0.0747,0.515,0.1296,0.2926,0.0105,2.7856,0.6188,0.8604622184188422
2.4621,8.144,0.0794,1.2877,0.0839,106.0586,0.0092,2.2671,0.1011,195.0554,12.1135,0.3858,2.022,0.8324,14.5196,9.6316,0.0276,0.0134,0.0156,1.1852,2.8094,0.7015,1.3389,0.4437,1.9724,0.0241,11.9784,0.4962,1.169934601268782
0.6978,0.6084,0.0915,0.2712,0.122,388.746,0.003,2.484,0.2067,285.4874,6.0862,12.7136,4.21,0.0408,1.7764,2.1589,0.0488,0.0462,0.1141,0.4489,1.6816,0.0654,0.4379,0.1915,2.0577,0.0054,4.0066,0.451,5.077610951579108
0.5839,0.9785,0.0264,0.3116,0.045,239.9545,0.0025,0.3799,0.1032,305.3786,9.5142,31.9095,0.498,0.2053,2.0165,0.1507,0.1704,0.3568,0.0557,0.2116,2.6251,0.07,0.9313,0.5219,0.9213,0.0451,5.4574,2.2714,1.4605873589678349
2.8182,0.1056,0.0124,0.9862,0.3433,1737.0827,0.0007,0.0792,0.1771,13.6235,35.2481,10.945,0.8028,0.1153,0.6029,3.032,0.01,0.0133,0.0308,0.053,0.3972,0.0207,0.0599,0.2398,8.4493,0.0202,2.509,0.2972,2.7001450639363105
2.8046,1.1381,0.1797,0.5135,0.4053,426.9243,0.0096,0.6235,0.7373,131.1187,142.2871,0.3884,2.5308,0.2433,12.6569,1.1773,0.1216,0.0377,0.0516,1.8793,4.7346,0.597,0.9647,1.8047,5.8289,0.0155,0.3527,10.4281,2.991325617627631
0.1526,0.1655,0.0052,1.9388,1.4118,376.1779,0.0011,3.1943,0.1164,289.2084,67.1474,16.2543,0.3422,0.1522,8.1328,1.9248,0.4335,0.3146,0.2441,1.8842,0.3961,0.047,0.0722,2.4834,8.1929,0.0074,1.6766,0.2496,0.8903429761951652
0.4991,0.3564,0.27399999999999997,0.7237,0.1025,1074.4458,0.0298,0.1086,0.0326,34.1514,225.8732,0.5775,0.1478,0.1379,5.8785,1.8807,0.0331,0.3476,0.0538,0.3892,0.6998,0.9062,0.073,0.1948,1.2396,0.0039,12.4211,0.5489999999999999,1.252600693321218
0.6535,0.6940000000000001,0.0518,0.4491,0.976,67.79,0.0019,0.2485,0.0725,258.8342,14.0543,12.3553,0.8419,0.2044,0.6446,3.2257,0.0211,0.0315,0.0163,0.1705,1.1692,0.1636,0.4726,0.5348,0.2958,0.0698,16.3292,0.5627,3.2026888840849543
0.5253,2.6607,0.0269,0.07,0.0371,546.053,0.0007,0.0727,1.0975,67.57600000000001,39.3363,0.4461,2.9254,0.0359,12.2525,0.3474,0.1539,0.0176,0.0142,0.094,3.3306,0.3802,0.04,0.2431,2.1488,0.005,2.5694,0.6441,1.2314020782232693
2.1867,0.2627,0.0148,0.2342,1.6791,187.4342,0.0114,3.0116,0.0475,60.9979,6.1639,1.7139,0.119,1.5953,2.1495,0.8291,0.077,0.0085,0.022,1.5961,1.2428,0.2026,0.4101,0.3382,0.8915,0.0015,1.7319,1.1089,1.020609158712262
1.8257,0.8903,0.0361,2.4902,0.0657,167.78599999999997,0.0008,0.1139,0.4903,48.3168,37.2415,1.5664,1.042,0.0813,12.7896,8.6169,0.1835,0.0843,0.2335,0.0634,0.2553,0.9711,0.4136,3.2276,0.354,0.0035,1.0272,6.5096,0.9371209211431264
0.4324,0.34700000000000003,0.1689,0.5286,0.147,269.5223,0.0032,0.1579,0.3394,73.454,4.9655,4.1193,0.406,0.071,4.4674,3.5841,0.0194,0.5857,0.0121,1.1818,0.9889,0.0269,0.0833,0.1397,0.105,0.0033,4.3001,3.8539,0.8459000299482103
0.0553,0.4107,0.040999999999999995,0.2888,0.9799,73.8267,0.0007,1.3254,0.0312,256.7706,31.8203,32.1894,6.2608,0.0366,1.1498,0.7238,0.0088,0.0083,0.0141,2.3366,2.036,0.0804,0.1477,1.194,0.3776,0.0012,6.5422,0.8768,3.930682262109677
0.184,0.127,0.0039,0.1682,0.3464,1217.6875,0.0025,3.4455,0.0832,188.581,50.9421,1.6049,1.4556,0.0303,5.9968,1.5642,0.0097,0.03,0.1097,0.4665,0.0891,0.0738,0.5417,1.5329,0.1738,0.0624,1.2523,2.1915,1.590711296727367
2.5986,0.3035,0.0034,0.1055,0.0503,60.7504,0.0046,0.4962,0.0401,99.59,52.5408,1.5202,2.8206,0.2717,6.2955,0.1639999999999999,0.3879999999999999,0.0344,0.009,2.999,0.4246,0.4355,0.9297,0.9985,0.8601,0.0074,6.3594,16.2783,1.5637906054878683
0.0821,1.5594,0.1839,1.3422,0.2772,568.4187,0.0007,0.1423,0.0433,95.5352,11.2605,6.0929,1.9585,0.181,1.3827,0.2078,0.0237,0.008,0.0035,0.0657,1.1912,0.0918,0.0676,8.7057,0.2364,0.0076,1.7343,7.1057,2.237930916992854
2.4386,4.4251,0.23399999999999999,0.9019,1.5736,1338.8979,0.002,0.0389,0.0154,72.3242,4.6464,3.3279,3.2117,0.0324,0.5865,0.1787,0.0243,0.0584,0.1075,0.0381,0.7364,0.0266,1.4542,0.4524,1.5657,0.0153,14.0839,7.2102,2.1628238251881
2.7798,0.3028,0.0075,2.9998,0.4038,336.7769,0.0028,3.4738,0.2636,431.1763,5.8074,19.4394,0.0966,0.0842,1.0184,3.3821,0.0079,0.0108,0.0089,0.7514,4.1724,0.0547,1.354,3.1638,4.6214,0.0125,13.2543,0.6882,1.4605873589678349
2.8036,0.3305,0.0341,2.4937,0.0509,122.1432,0.0139,0.7503,0.8931,14.2225,11.9189,2.9422,2.3401,0.0696,14.6368,0.2715,0.1168,0.0139999999999999,0.0043,0.5529999999999999,1.0685,0.2747,0.7829,7.0533,0.6972,0.0553,1.7883,0.2248,9.54842512720799
0.385,5.5243,0.022000000000000002,0.31,0.1975,1034.337,0.0013,0.0389,0.6488,123.1058,80.3305,19.9691,2.1357,0.1218,0.2667,4.157,0.2776,0.3318,0.0355,0.363,1.0692,0.2886,0.2025,2.6145,0.742,0.0023,0.4431,0.2154,2.3960602713947914
0.1518,3.3310000000000004,0.2184,0.05,0.2576,1246.6481,0.0144,0.4523,0.0154,42.7383,50.7817,4.7457,1.4059,0.0329,0.5877,5.6861,0.5142,0.2515,0.018,0.1833,0.6052,0.141,0.5221,0.3417,0.2114,0.0012,3.2909,0.7836,0.6012619618074355
0.4986,0.1685,0.0105,0.6459999999999999,0.5563,389.6264,0.0008,0.2371,0.5693,429.0718,10.1963,5.7622,0.0892,0.0343,4.0944,0.5787,0.0334,0.054,0.0038,1.1519,1.4894,0.9832,1.4409999999999998,4.3663,0.3275,0.0021,1.6431,6.6544,5.436388488267471
0.2438,1.6626,0.0576,1.2871,0.3302,63.4826,0.0138,0.3523,0.0181,38.4741,412.771,33.2017,2.5332,0.9027,9.5973,1.2535,0.1537,0.0352,0.0693,0.0912,1.2596,0.1409,0.1078,2.3916,2.1917,0.003,4.2162,0.4859,1.210562221734083
0.7842,0.1269,0.0036,0.094,0.3604,222.582,0.0017,0.0734,1.1003,119.2081,173.0201,0.6509,0.6383,0.0442,2.7852,4.2008,0.0131,0.0782,0.0071,0.1456,0.5615,0.0171,0.6364,0.1537,5.8997,0.0375,0.4042,1.3311,1.590711296727367
0.6759,1.6594,0.272,0.2602,1.2408,256.0637,0.0019,0.3007,0.6247,249.0246,393.8317,5.3801,0.4535,0.027,2.3408,0.5714,0.2444,0.0646,0.0037,0.6217,1.4951,0.2832,1.1616,0.1611,2.1953,0.0011,10.6581,4.8487,1.762251782581439
0.149,1.9051,0.0069,0.0462,0.0812,66.6823,0.0004,0.3296,0.0342,18.4505,24.9087,1.5367,2.4183,0.2134,0.3664,2.3001,0.1672,0.0206,0.0075,0.8201,4.2852,0.0189,0.0745,1.2094,2.5281,0.0737,9.026,0.7214,2.355510110664712
1.266,0.1995,0.0048,0.142,0.2147,613.0837,0.0036,0.3679,0.1207,17.8122,149.7557,4.7372,0.146,0.1766,0.501,0.3788,0.0787,0.0895,0.0943,1.2253,0.9966,1.1103,0.1342,1.0039,0.5703,0.0117,0.2525,7.8933,1.0742311901272228
0.14800000000000002,1.7714,0.0081,0.0481,1.4974,32.8542,0.0016,2.7856,0.3743,74.6466,28.2673,0.6107,1.8786,0.0268,0.6588,0.3591,0.0141,0.0475,0.1844,0.4289,4.0377,0.8253,0.9196,0.449,0.4005,0.033,1.5551,3.257,7.2665371521753555
0.1197,0.326,0.0035,0.114,0.2173,22.8967,0.0005,0.18,0.6268,286.2087,20.933000000000003,7.4056,0.0702,0.4296,7.9087,0.1583,0.1224,0.3473,0.0048,0.7255,2.2243,0.0549,0.1825,0.7039,0.3067,0.0075,0.3873,0.6798,0.5615813381678192
1.3459,2.327,0.0158,0.4581,0.9859,139.6831,0.0031,0.0498,0.0432,41.8716,15.8004,1.8612,0.138,0.3012,1.02,0.1842,0.4535,0.0189,0.0078,0.0383,0.9621,0.0179,0.0501,1.979,5.8561,0.0023,4.8082,1.0772,0.61161270030853
0.1166,0.2113,0.0045,0.2644,0.2541,667.8897,0.0021,0.0466,0.9096,201.5843,342.7479,0.3709,0.711,0.2917,6.6196,1.0364,0.023,0.3356,0.0043,1.4074,0.6079,0.0406,0.0425,5.2149,0.2932,0.0116,1.5122,9.0703,1.169934601268782
1.801,0.2319,0.011000000000000001,0.4343,1.1793,260.855,0.0005,0.4618,0.1639,89.1606,8.5608,5.0283,0.2097,0.9148,0.2058,0.4311,0.044,0.0738,0.0653,2.5966,2.1357,0.2561,0.0363,1.3277,9.1586,0.0687,18.8395,8.0136,2.565362845011726
0.2064,0.1337,0.0333,0.0988,0.0336,1231.7467,0.0015,0.0356,0.6273,446.6565,82.2657,2.0478,0.0725,0.0655,0.7513,10.8853,0.1374,0.0123,0.0043,0.5376,1.0605,0.0358,0.918,1.5615,0.5505,0.0364,7.9057,0.5774,1.1306704824187126
2.5444,0.1171,0.2843,0.182,0.0234,474.9716,0.0007,0.0934,0.0593,79.4594,12.7878,4.2093,3.1337,0.0253,1.7565,1.2282,0.0167,0.1403,0.1232,0.4775,2.4419,0.0959,0.2535,4.1766,0.1499,0.0016,1.1723,9.7356,1.3876797186324314
3.721,0.154,0.0972,0.0902,0.2539,32.5991,0.0015,0.8551,0.2183,12.3117,20.6693,1.5546,1.9651,0.1183,0.257,0.619,0.1376,0.0758,0.0088,0.3228,3.2769,0.2094,1.2946,3.3367,1.0273,0.0033,0.6263,1.0259,8.050152202955042
0.5931,0.4259,0.0287,1.6367,0.1127,542.0554,0.0044,0.0677,0.0394,191.8837,40.6751,26.9718,0.1161,0.0389,8.9734,5.2113,0.0582,0.2378,0.1104,0.7757,1.639,0.4009,0.04,3.5653,2.201,0.0269,6.8012,2.7345,7.14356059228261
0.3861,4.3981,0.1295,1.4632,0.2809,220.3377,0.0295,2.8602,0.1711,36.7139,40.0199,0.5882,0.813,0.2625,2.8106,1.8777,0.2207,0.3989,0.1305,0.314,0.6116,0.7889,0.0695,1.1096,5.3514,0.0035,11.8667,8.873,1.95229099812178
2.476,1.6704,0.0142,0.0784,0.2165,23.3324,0.0089,0.073,0.0229,5.8165,98.073,2.0071,3.7609,0.0358,4.3265,3.4189,0.0976,0.1484,0.0695,0.4255,0.6398,0.9524,0.2505,0.1224,0.215,0.0035,5.8186,0.4122,1.3184113840781164
1.6834,0.1769,0.0612,1.0121,0.0813,54.632,0.0041,0.3232,0.0536,32.0071,4.981,10.2187,0.6116,0.0574,3.9278,3.7022,0.0226,0.1194,0.0419,0.3451,0.3295,0.3481,1.1662,3.663,0.7918,0.0045,0.3623,0.4986,2.3960602713947914
0.2521,2.293,0.0039,4.4965,0.0876,123.3874,0.0028,0.1774,0.7305,8.9616,103.3164,0.5789,0.1247,0.0307,5.8042,0.4608,0.0499,0.0124,0.004,0.0436,4.6766,1.4867,0.0908,2.0609,6.5788,0.0195,0.2484,2.6618,3.148487597678045
2.0373,0.1622,0.0549,0.0622,0.3019,702.2089,0.0011,2.1075,1.3625,241.2042,7.6997,0.7213,0.1896,1.9459,1.6977,14.5052,0.0426,0.0429,0.053,0.0962,4.613,0.0184,0.1215,0.1057,0.1076,0.0029,4.9807,4.9952,0.7131672395025093
0.4854,3.2935,0.0258,3.9417,1.1084,305.906,0.0009,3.3119,0.1863,277.2802,118.1791,4.7582,0.244,0.1764,1.9485,7.6161,0.006,0.0146,0.2848,1.2888,3.327,0.0692,0.0643,3.2978,5.1456,0.0411,11.5803,2.027,2.4373085040744638
2.0736,0.2512,0.0184,0.5889,0.3337,255.2365,0.0039,1.0669,1.2188,34.2616,6.7364,32.3416,0.8215,0.0798,12.164,3.9379,0.0063,0.2624,0.2741,1.22,1.9122,0.0979,0.0417,0.5304,0.1801,0.0076,11.4548,0.203,3.148487597678045
3.6728,0.342,0.0075,1.0886,0.551,599.4884,0.0018,0.2539,0.2408,125.7371,433.6367,0.5683,2.6558,1.4381,7.0149,1.1953,0.3307,0.3387,0.2202,2.0221,2.5378,0.0213,1.2029,2.438,2.6233,0.0049,1.729,0.2589,1.886770253887835
0.2424,0.4042,0.2816,0.0873,0.3769,167.5538,0.0023,0.322,0.1138,324.8461,174.9802,1.5839,0.6595,0.0348,2.1962,3.343,0.0461,0.0481,0.006,0.0386,4.8051,1.0744,0.3235,0.7563,0.6015,0.0116,1.3268,1.9261,1.919251047202832
3.3121,0.1151,0.0384,0.6307,0.2545,224.6837,0.0192,0.1959,0.0542,24.3894,202.797,5.6029,1.7299,0.3639,0.3947,6.9319,0.011,0.3356,0.0058,0.4397,2.1151,0.1266,0.0392,0.5201,0.4093,0.0155,9.6608,1.8343,1.190075052337253
0.4383,0.7712,0.0046,0.511,0.031,528.6556,0.0016,0.1931,0.2992,18.6906,349.2761,0.6143,0.3924,0.3787,2.417,7.3077,0.2347,0.195,0.0074,0.1028,1.4812,1.0575,0.2597,1.2192,3.9809,0.0014,0.2876,0.4801,2.8909338825319995
1.5214,0.6098,0.0113,1.5590000000000002,1.6028,757.2084,0.0049,1.5124,0.2467,24.8275,8.9546,1.7406,1.5953,0.1736,9.6349,0.8153,0.0781,0.2826,0.0066,0.2642,1.024,0.755,0.1119999999999999,0.0958,0.2745,0.012,0.4179,0.7424,0.7900743784730799
0.3823,0.4265,0.0072,3.0268,0.1162,269.1829,0.0014,0.0963,1.0947,361.4015,348.4525,30.7881,1.0489,0.0297,0.1862,3.7896,0.018,0.0098,0.0139,0.0416,1.2553,0.0638,0.9489,5.3196,1.818,0.0181,3.5193,16.474,0.953253479353692
0.3609,7.9412,0.0232,0.0558,0.1425,1704.885,0.0027,1.8807,0.0708,337.2576,14.3724,1.4836,5.4559,0.0436,1.3581,0.4796,0.0698,0.239,0.2171,0.5802,2.2765,0.0296,0.3547,6.2745,1.6203,0.0519,0.3302,1.1936,1.823448448197939
0.1059,0.6017,0.0151,4.0532,1.3807,476.1217,0.0295,1.6552,0.0154,13.1293,26.7812,4.6818,0.0859,0.0642,2.1723,1.9159,0.0078,0.2398,0.0514,0.0789,1.4488,0.4813,0.0731,4.4877,0.971,0.0218,0.3789,0.618,0.7506365055719758
0.2394,0.1012,0.0165,0.1441,0.0184,123.7051,0.0099,1.9781,0.6658,5.5792,4.9188,35.5667,0.6679,0.136,1.5028,8.2046,0.0285,0.1765,0.1166,1.0883,0.6066,0.0995,0.1093,4.7336,0.2522,0.0027,0.9815,0.7483,0.55207731450131
0.6921,4.6557,0.0098,0.0535,0.6122,42.7662,0.0213,0.2444,0.1259,224.7896,24.6533,0.5014,0.1492,0.2253,0.319,2.2076,0.0883,0.0151,0.0726,0.0517,1.0984,0.0475,1.3865,3.3202,6.2687,0.0249,2.2408,1.2443,0.737932972478841
1.8553,3.8225,0.0134,0.36200000000000004,0.6572,74.9932,0.0023,0.0727,0.0405,45.6749,68.1819,3.3855,0.8257,0.7785,7.8215,2.6368,0.1411,0.311,0.0257,0.0747,3.7026,0.023,0.1476,0.4899,1.7649,0.0092,0.211,4.8176,1.9858997325556929
0.3268,1.0793,0.0078,0.1231,1.0129,886.6761,0.0094,0.07,0.0182,45.8998,132.476,0.4228,3.26,1.2342,3.2921,0.1631,0.0644,0.2961,0.2534,0.2419,0.1809,0.0221,0.1116,1.4898,0.6855,0.0025,0.2876,0.3278,2.565362845011726
1.5841,0.8975,0.0438,0.0526,0.105,1013.9896,0.0243,0.4245,0.0911,7.7163,6.1557,18.1495,1.1267,0.1863,12.7161,4.1417,0.5721,0.1166,0.2158,0.0407,3.2262,0.0988,0.0422,0.527,0.1427,0.0851,0.2375,18.4176,1.823448448197939
0.5047,9.7596,0.0886,1.1284,0.3697,23.1616,0.0011,0.1722,1.1063,16.1331,39.4019,0.3661,1.3991,0.0333,0.4935,8.0913,0.0339,0.0289999999999999,0.0037,0.0982,0.3101,0.428,0.2531,8.4528,6.0543,0.0093,9.887,3.2475,1.645950978298644
