k_E,k_M,k_CD,k_CDS,k_R,k_RE,k_b,k_CE,k_I,k_P1,k_P2,k_DP,d_M,d_E,d_CD,d_CE,d_R,d_RP,d_RE,d_I,K_S,K_M,K_E,K_CD,K_CE,K_RP,K_P1,K_P2,bistable,rebi
3.9941,7.6406,0.0217,0.4157,0.0811,774.402,0.0212,1.9973,1.1859,351.3949,34.8719,16.1021,1.294,1.9335,8.7683,6.796,0.3347,0.0116,0.1762,0.9278,0.7785,1.0068,0.1937,8.0618,8.1255,0.0543,10.6034,3.9508,1,1
2.2899,2.4919,0.0374,4.095,0.3311,149.6021,0.0273,1.6869,1.0351,402.4302,152.4429,3.3384,0.1688,2.2189,5.3365,4.4589,0.3452,0.0798,0.122,1.5462,3.2185,1.1747,0.0826,3.8999,6.0435,0.0021,9.2539,6.0024,1,1
1.1256,3.1334,0.0886,3.4678,1.0817,1603.7188,0.0155,1.0173,0.3196,257.3181,156.7564,7.8856,1.5711,1.2299,1.824,2.9982,0.0847,0.4572,0.217,0.9779,3.9713,0.3316,0.2562,2.7505,8.4202,0.047,1.2524,18.926,1,1
2.6996,2.0012,0.1178,4.3761,0.5357,1683.8189,0.0261,0.751,1.1692,325.3754,221.03,2.6389,4.4573,1.5744,7.3932,8.9836,0.0374,0.1365,0.212,1.3355,4.1139,0.0796,0.2164,2.1564,3.4727,0.0672,1.9689,7.2042,1,0
0.7235,3.5666,0.2787,2.4077,0.5792,453.1221,0.006,3.4847,0.6477,147.2765,277.4283,3.4052,1.464,1.2236,12.973,5.6251,0.5054,0.1793,0.0593,2.9319,4.3593,1.2184,0.0204,0.3147,5.2352,0.0808,15.021,4.8038,1,1
3.095,9.0031,0.2922,3.1364,0.655,217.023,0.0226,3.4187,1.4315,66.4601,54.8979,11.0631,3.0153,1.4058,6.7268,12.4171,0.3193,0.063,0.0493,1.5508,0.3385,0.875,0.0839,2.7395,2.2949,0.0976,3.8053,13.7393,1,1
3.6977,3.8433,0.1088,2.485,1.1354,823.9914,0.0231,0.2568,0.5521,375.9111,66.1515,27.0623,6.1961,0.3358,4.5812,12.5929,0.4764,0.3947,0.2619,2.2848,0.7667,0.0293,1.041,0.7438,8.6809,0.071,3.3835,9.1701,1,1
0.7427,4.122,0.2994,4.48,1.2549,262.275,0.0195,3.4729,0.0478,418.766,338.5739,27.2354,3.4993,0.1575,6.7047,4.4797,0.499,0.2016,0.0151,0.9984,1.8733,1.2808,0.3263,8.0243,2.5249,0.0853,14.2265,0.3762,1,1
1.7955,7.6356,0.1116,2.3196,0.1402,1047.1886,0.016,0.3452,1.0192,86.6819,422.855,11.5994,4.4944,2.3932,11.3156,3.6041,0.1206,0.5504,0.1912,0.9971,3.4671,0.9926,0.0616,5.3154,3.8318,0.0535,14.1852,0.443,1,1
3.1622,4.1462,0.1839,3.8541,0.44,1517.629,0.01,0.3282,1.2014,310.6108,403.9178,6.3868,3.8744,1.1956,9.5518,7.4734,0.5787,0.4703,0.2266,1.5793,2.2172,1.442,0.5814,2.1717,4.775,0.0802,0.4391,8.1499,1,0
2.5477,8.8046,0.1644,0.4591,0.0226,955.5078,0.0121,3.0694,0.837,155.225,30.008,32.1685,4.3054,1.9137,1.8972,3.3985,0.5355,0.4637,0.2687,0.724,1.929,0.1973,0.9594,4.7978,6.7659,0.0458,1.6795,7.5355,1,1
3.72,1.171,0.1613,4.4304,0.2543,279.8987,0.0279,1.7706,0.9727,210.805,99.5741,10.2139,6.9982,0.549,12.6263,8.4407,0.0676,0.3103,0.0643,2.187,3.4773,0.156,0.0721,1.8511,6.9365,0.0826,15.9135,0.7772,1,1
3.3834,7.8912,0.0292,1.6827,0.5423,141.5453,0.0222,1.9822,1.0802,332.4206,150.7894,28.7294,1.8211,0.1172,5.5919,7.9159,0.3118,0.2285,0.0652,2.0955,2.335,0.4029,0.8427,1.4962,1.2598,0.0511,5.6773,1.9577,1,1
2.4668,2.4395,0.2819,1.6971,0.2507,285.511,0.0146,0.4128,0.7104,436.8583,284.4777,23.2251,0.2081,1.4027,14.4222,13.4731,0.5408,0.5476,0.2838,2.6235,4.4803,0.211,0.3201,6.3603,3.8593,0.0676,4.031,17.0343,1,1
2.842,1.384,0.2775,2.1158,1.7528,1630.0326,0.02,0.6879,1.181,208.1486,325.5575,23.4185,5.0426,1.6431,0.8583,4.8201,0.3016,0.4871,0.1589,2.7004,3.0673,0.1339,0.8274,0.3484,5.1323,0.0387,11.8091,7.3512,1,0
0.1083,7.2571,0.1259,3.7923,0.5466,1356.9122,0.0204,1.1522,1.3924,139.1075,407.5832,0.8045,0.4156,0.1559,5.6738,1.0603,0.0167,0.08,0.0996,2.6988,3.0571,0.7263,0.0695,3.7397,4.7083,0.0372,9.1612,18.2742,1,1
3.0798,6.0869,0.0474,3.1548,0.1165,722.9133,0.0275,3.3369,1.2149,96.5769,90.8293,20.2051,3.6473,0.9718,14.6173,10.4512,0.1345,0.4875,0.1287,2.039,3.9068,0.6442,0.0985,5.497,2.2079,0.0028,2.0264,1.2878,1,1
2.6968,5.0115,0.2614,2.21,0.6112,283.5996,0.0099,3.1681,0.608,181.4094,176.9439,18.9787,4.8602,0.1784,0.258,4.6108,0.4735,0.2395,0.0322,1.8428,0.5734,1.0055,1.0073,8.4336,0.2007,0.0917,1.1853,12.0729,1,1
2.6627,5.3245,0.0322,4.207,0.2029,70.6743,0.0132,0.5119,0.8416,418.8987,439.659,12.8072,0.7126,0.6585,12.2629,3.9263,0.2411,0.5644,0.2519,1.2436,2.8614,0.5426,0.2608,1.5117,4.6002,0.0387,8.5812,11.9139,1,1
0.5965,7.4752,0.2665,0.9678,1.1522,244.3813,0.026,2.608,0.8432,407.2194,386.8745,28.3825,4.3388,1.3407,0.5037,0.7345,0.2585,0.2059,0.0684,2.1847,0.3309,0.6175,0.1016,0.1074,7.0449,0.0444,12.3955,2.5229,1,1
2.4001,8.1451,0.2686,3.4465,0.4776,540.6538,0.0013,0.4997,0.9557,341.8766,112.0554,14.8043,0.7538,0.7903,0.3874,3.7177,0.1183,0.1116,0.091,1.0894,0.8188,1.0488,1.3249,3.9333,0.6247,0.0324,6.6197,7.0611,1,1
3.8359,9.5623,0.2996,1.966,0.6488,893.817,0.008,0.3021,1.3287,81.3449,25.2989,35.8602,2.9877,0.2078,3.7062,0.7017,0.4329,0.0502,0.0494,0.3593,1.2145,1.1918,0.0914,1.7677,8.0547,0.0709,3.3323,2.4276,1,1
3.9031,7.0853,0.1655,4.0817,0.5797,1074.038,0.0143,1.0291,0.4093,304.2177,15.5731,7.198,2.6464,0.2114,7.8509,0.3825,0.0173,0.4526,0.0585,1.6452,2.3355,1.4957,0.1865,1.8161,7.188,0.017,11.199,4.0575,1,1
3.6325,7.1303,0.1246,1.3147,1.5227,1128.8102,0.0152,3.1415,0.7068,234.5617,206.1496,19.2769,0.9254,0.8766,8.7613,13.1984,0.3138,0.2214,0.0333,2.3566,3.6412,1.4621,0.8406,0.3129,6.1862,0.0354,0.6369,11.0764,1,0
2.0618,5.5047,0.0931,4.293,1.1358,1122.4766,0.0268,0.2886,0.2325,430.1018,6.9862,16.9712,4.9688,1.7722,14.9852,14.3772,0.024,0.1531,0.0071,1.3413,1.9404,0.1422,0.476,2.6333,8.8331,0.0858,3.0677,13.5937,1,0
2.7335,3.7678,0.173,3.0971,0.5276,307.7079,0.0294,0.4103,0.9701,139.4942,344.7179,23.9016,2.3354,1.3435,1.6797,10.5372,0.0583,0.148,0.0134,0.2876,0.3902,1.1108,0.0308,8.0896,2.7787,0.0375,7.1282,9.6684,1,1
3.9518,2.2503,0.0091,2.363,0.0751,1405.4618,0.0106,2.5726,0.1075,205.6257,236.8303,27.9216,2.005,0.4421,6.2448,12.2054,0.0197,0.3863,0.1252,0.8592,1.9649,0.6174,0.5504,2.8877,4.7637,0.0571,5.3278,4.9223,1,1
3.7788,5.361,0.0307,4.2221,1.4722,665.4642,0.0208,0.8855,1.4143,255.3308,237.3298,2.7342,3.3854,0.1968,2.3404,3.6899,0.0851,0.3684,0.1601,1.8013,1.6974,0.1039,1.0026,6.4968,6.136,0.061,9.9338,11.5464,1,1
0.9589,8.6776,0.1658,3.3831,0.8633,526.9774,0.0205,1.4006,0.0916,167.8309,25.4577,14.7061,0.3667,0.7719,0.1946,6.0584,0.5034,0.2329,0.1877,2.2971,0.7017,0.6122,0.9662,6.8688,3.3119,0.0457,1.6496,2.984,1,1
3.3247,4.259,0.2227,1.0311,0.2511,743.8635,0.0149,1.9333,1.1859,355.153,189.9607,1.9628,0.2495,1.6933,9.4296,5.3215,0.3876,0.5511,0.1823,1.7836,0.0681,0.5509,0.6989,0.3057,1.2115,0.0393,18.6815,4.0852,1,0
1.1925,7.9789,0.0813,3.1896,0.0648,794.4268,0.0161,2.3897,0.3825,384.547,100.8804,22.9997,0.8749,0.1362,11.8241,5.3122,0.2871,0.5121,0.0956,1.5914,0.3644,0.5885,0.3608,3.3691,2.2966,0.0932,19.0944,3.9325,1,0
3.4684,7.3893,0.2365,4.3978,1.6449,899.291,0.0285,2.386,0.1196,85.1161,35.249,32.2352,1.1568,2.2922,0.1689,14.8453,0.1398,0.4052,0.1147,0.2076,3.1718,1.1575,0.0759,7.117,8.5525,0.0753,17.5645,12.4016,1,1
3.7184,1.7105,0.2989,0.117,0.323,1770.0897,0.0141,1.1258,1.298,294.1569,132.1984,3.3567,4.6631,0.0263,14.0092,5.9853,0.0826,0.3614,0.144,2.4972,2.6582,0.33,0.0202,0.6301,0.4415,0.0593,7.9122,18.2912,1,1
3.7464,3.994,0.1796,2.8279,1.6572,1114.7989,0.0105,2.6289,0.4409,431.9898,36.2145,2.1629,2.0401,0.7322,6.0197,2.4526,0.3353,0.3418,0.1235,1.9146,4.0257,0.5747,0.8033,2.0858,3.4683,0.0491,3.2789,7.2825,1,1
1.426,5.9851,0.0502,3.8109,1.4589,1733.2474,0.012,3.2039,0.5391,440.4036,82.0491,2.9229,6.7587,0.3949,13.2734,11.0316,0.1816,0.2027,0.0082,1.6515,2.497,1.2015,0.6276,8.887,1.4421,0.0295,2.2068,8.2016,1,0
2.6254,8.3212,0.2364,4.497,0.215,966.1694,0.0214,3.3278,1.4991,160.4115,81.6051,28.3045,6.1727,0.0383,13.4218,13.6253,0.0194,0.4919,0.168,2.8874,1.255,0.9819,0.436,0.1017,4.1711,0.0769,3.616,4.1881,1,1
2.2755,5.3706,0.2661,2.8477,1.5883,1101.9133,0.0219,1.5847,1.0856,105.4241,86.4883,21.3395,3.9204,0.3367,0.2259,8.4767,0.4339,0.0554,0.2517,2.1581,2.0752,0.1915,1.3733,2.0119,1.8659,0.0182,3.9532,3.1358,1,1
3.9911,6.6898,0.1358,4.2033,0.0625,333.4028,0.0273,0.7187,1.115,91.2189,193.1449,21.8202,5.3578,0.3015,3.1144,6.5442,0.4831,0.2494,0.0558,1.9464,3.8831,1.2177,0.4372,6.8234,3.6818,0.0015,14.8688,12.0019,1,1
3.436,7.5717,0.098,2.2517,1.0334,290.4125,0.0044,1.2699,0.1545,385.3762,244.6199,30.01,2.9978,1.5879,2.7346,0.5974,0.1621,0.1885,0.23,1.103,4.4505,0.7125,0.0838,7.3567,8.7648,0.0034,1.1049,19.3179,1,0
3.3889,8.8835,0.0687,3.4419,0.1102,1528.7038,0.0191,1.8803,1.1492,207.5761,261.9941,9.0479,0.2807,1.9542,3.7644,12.8711,0.4539,0.1851,0.2981,0.5211,3.3445,1.0368,1.0633,0.6404,5.3338,0.053,6.5273,8.4396,1,1
3.7366,8.0754,0.055,1.6957,0.0483,909.5051,0.0221,1.0683,0.1768,118.9558,414.6612,1.5976,4.5094,1.4029,13.464,12.0368,0.3866,0.5356,0.2429,1.8945,1.2969,0.2103,0.4125,4.9356,9.1337,0.0663,3.0094,17.198,1,1
2.0592,4.9231,0.2142,2.3634,1.4894,139.8855,0.0066,3.0472,0.907,178.9036,422.7324,0.6989,4.5608,0.097,1.6434,11.5166,0.2207,0.5188,0.0127,0.8414,1.2732,0.8027,0.259,7.7822,0.6718,0.0187,15.6014,16.3777,1,1
2.9355,8.5815,0.0258,2.7378,0.7771,158.5984,0.0216,2.9634,0.9739,96.0802,234.9927,17.1581,1.9271,1.0054,11.0769,10.8387,0.4014,0.135,0.1812,1.0415,3.8148,0.2816,0.0368,2.0355,6.7978,0.0235,12.8526,13.1161,1,1
3.8434,5.4766,0.1121,2.3132,1.0161,1484.8726,0.0168,1.675,1.0574,351.8052,307.9048,24.3138,4.5799,2.4718,4.3778,10.9858,0.0307,0.1579,0.068,2.7265,4.6022,1.0934,0.3773,2.5099,3.6004,0.0172,1.8732,3.2587,1,0
3.8041,8.2355,0.2028,2.3805,0.4661,1691.1945,0.0077,1.6824,0.5112,378.0001,138.2792,29.4095,1.0993,0.835,2.5371,3.7476,0.3079,0.0544,0.1149,2.7989,3.3493,0.8261,0.6609,1.8594,2.1659,0.0548,1.4006,13.388,1,1
3.8593,6.7447,0.2586,3.9337,1.6867,1531.6747,0.0085,2.0252,0.4699,291.5012,338.1452,20.5352,4.3596,1.3524,3.5986,7.0187,0.2343,0.5978,0.0079,2.0677,2.0186,0.4911,0.1531,0.406,8.0114,0.0508,19.9105,15.0418,1,1
2.4291,7.501,0.1643,3.4828,0.0479,478.4543,0.0111,2.3307,0.5316,384.9058,356.6792,9.5034,2.0213,0.6939,9.3191,14.1118,0.2354,0.4472,0.0384,0.8334,2.7712,0.6208,0.9974,8.3376,9.097,0.0776,18.1665,18.742,1,1
0.8409,4.9948,0.025,3.0676,0.5103,1270.432,0.0059,3.0262,0.5146,154.1755,333.1549,27.9758,2.9515,0.4198,12.566,2.7128,0.1107,0.4294,0.0757,2.3863,4.9906,0.1559,0.0303,8.2877,0.7501,0.0901,2.5636,6.724,1,1
3.155,5.9522,0.0313,3.1209,0.0902,373.6836,0.0007,2.4332,1.393,134.4166,74.3213,5.2916,3.4212,1.0966,1.2605,0.4673,0.3706,0.5863,0.1381,2.5264,1.8267,0.8759,0.445,2.5713,3.7058,0.058,19.2874,4.3148,1,0
3.247,2.8562,0.0328,3.7764,0.5022,951.6159,0.0077,1.4546,1.276,420.4685,190.4632,20.4256,2.8977,0.8641,6.3118,1.2287,0.5074,0.5664,0.1568,1.7136,2.2833,0.8414,0.4176,8.6309,1.5427,0.0312,0.4605,10.5883,1,1
2.4696,9.9633,0.2256,0.5082,0.7176,113.3764,0.0136,0.9507,0.4424,414.1047,445.5791,24.2704,5.9431,0.4656,11.1243,12.1026,0.5636,0.0643,0.1676,2.6888,4.3067,0.1102,0.1301,5.0565,5.2639,0.0889,10.6332,19.9113,1,1
3.1702,9.7547,0.0799,3.2038,1.1635,1456.8931,0.0123,1.3811,1.234,280.3066,360.4923,23.1898,4.7809,2.139,10.4132,1.5745,0.3085,0.3305,0.1208,1.4882,4.2509,1.2535,0.0169,7.6414,3.078,0.0112,15.9743,1.7907,1,1
1.6607,9.1949,0.1936,4.2752,1.5721,491.1327,0.0265,3.2462,1.0212,413.4546,157.3109,3.9628,2.3466,1.4205,2.6448,7.731,0.0442,0.2489,0.2163,0.5986,2.0513,0.1094,0.0327,7.2265,4.0141,0.071,10.2564,16.1272,1,1
3.5571,1.8882,0.1577,0.3466,0.0433,43.2601,0.0252,3.0504,0.3267,119.7273,254.7001,9.8724,0.3587,0.9936,6.2725,12.9556,0.1769,0.5397,0.2787,1.6802,3.9374,1.078,1.4889,2.5341,5.5543,0.0267,12.2813,1.1268,1,1
3.7002,5.4769,0.0939,2.4613,0.228,270.1691,0.0192,0.0673,0.7,234.0528,378.4332,29.4562,4.4265,0.8356,12.0543,12.4045,0.5528,0.2267,0.2669,0.2932,0.9049,1.0938,0.3286,2.9421,7.3936,0.0361,2.3053,14.5014,1,1
2.9523,3.867,0.1542,3.7239,0.1395,438.4371,0.0035,0.4065,0.7621,209.744,204.2976,32.8802,6.8134,0.685,10.4973,0.5311,0.4534,0.0607,0.015,2.8907,2.7098,0.4371,0.399,5.4617,1.2851,0.0858,5.2507,3.7717,1,0
3.5939,9.746,0.0448,3.171,0.7063,653.7891,0.025,2.1847,0.1945,156.5016,359.627,16.4563,5.944,1.4465,6.6122,13.7606,0.4389,0.5545,0.202,2.9632,0.3243,0.5108,0.0711,1.5747,8.5299,0.005,15.6984,9.7925,1,1
3.3545,9.0205,0.0509,1.7476,0.3724,268.651,0.0129,1.1159,1.4349,251.6251,161.8603,27.3685,4.911,2.4401,13.7073,0.9332,0.1783,0.1857,0.025,1.0605,0.7442,0.4844,0.0837,5.9238,8.5614,0.0903,13.5968,14.4563,1,1
2.1597,9.3601,0.2971,2.4496,1.2979,428.2943,0.0197,1.8233,0.1974,104.1115,285.9572,9.8868,0.5534,0.3472,4.2124,9.8312,0.1876,0.0133,0.0102,2.3688,2.1068,0.8974,0.7747,2.696,4.8195,0.0925,1.8834,4.8762,1,0
3.1561,3.4594,0.1953,1.85,0.6459,245.7992,0.0118,3.4266,0.9959,254.1899,265.2435,8.6255,0.5124,0.8317,5.0035,2.7646,0.0118,0.2409,0.2682,2.6736,2.2653,0.8059,0.777,3.2579,8.9596,0.0072,0.7918,12.7592,1,0
3.3987,6.3961,0.1877,0.5763,1.303,150.3803,0.0167,3.1215,1.3042,398.4434,205.0963,32.4538,0.2561,1.3668,0.4235,8.4708,0.5269,0.2773,0.2426,1.3909,2.6697,1.1038,1.0521,3.4607,7.165,0.0735,3.52,18.6646,1,0
2.9222,2.9737,0.0888,2.9679,0.1326,228.6558,0.023,1.0934,1.4172,405.7697,26.9723,23.4345,0.1278,2.3348,11.65,4.1069,0.59,0.4795,0.0663,0.6048,1.3039,0.6901,0.7637,1.3216,1.5821,0.0336,14.4509,14.2322,1,1
1.5991,3.3621,0.2428,1.6811,1.0793,1296.7418,0.0033,1.6164,0.4005,195.0674,38.5368,3.2729,4.6364,0.8218,3.812,7.2033,0.3227,0.0341,0.1245,0.7142,2.8147,0.5933,0.5609,2.139,6.8614,0.0907,2.0845,10.9308,1,0
1.4443,8.7974,0.262,1.9601,0.1013,1588.4804,0.0239,2.8225,0.3098,394.9376,435.6084,9.854,0.6169,0.053,9.0477,8.9457,0.1166,0.4547,0.2217,0.036,0.2433,1.018,0.5273,0.944,3.476,0.0708,2.3447,7.086,1,0
3.374,2.577,0.2062,3.455,1.1635,349.3656,0.0075,2.683,1.1149,147.4251,180.441,31.3336,5.322,1.0807,3.0997,1.8152,0.2013,0.2659,0.0129,2.2191,1.0736,0.0589,0.3598,3.2457,6.0987,0.0235,0.8434,13.4011,1,0
1.7967,1.1526,0.046,4.0152,1.3955,1451.2542,0.0049,0.7928,1.0859,449.0728,75.363,3.3082,0.7494,0.3727,1.0342,11.1032,0.2194,0.5441,0.1028,1.4376,1.2048,1.0329,0.3555,3.3113,7.0636,0.0778,3.0095,6.2863,1,0
3.6097,1.5933,0.1266,2.4892,1.2365,1301.5428,0.0286,3.3844,1.1167,190.471,80.5618,0.91,2.5676,0.2976,0.8403,11.3045,0.1657,0.5875,0.084,2.734,2.0965,0.925,1.4168,4.5523,1.9532,0.0901,9.1519,18.6273,1,1
2.544,6.8623,0.0993,1.0677,0.0705,597.8305,0.0143,3.3318,0.1669,305.2447,6.6984,21.8328,6.1276,1.9697,4.0101,1.457,0.1289,0.4005,0.148,2.8501,2.8407,0.1836,0.1411,1.1373,6.0766,0.0514,11.8285,11.0449,1,1
3.3531,3.2037,0.0711,4.2049,0.1098,1141.9511,0.0275,1.168,0.1462,81.5919,144.7781,27.6906,3.313,1.8651,6.4721,5.1876,0.1871,0.461,0.2736,0.8918,4.8212,0.5835,0.0721,5.3857,2.7504,0.0997,2.9098,11.2516,1,1
3.6877,2.8751,0.0343,4.2784,0.8075,1481.9327,0.0194,0.4382,1.2004,407.2284,379.7098,1.6523,3.5666,0.1569,5.6766,2.962,0.0743,0.5692,0.2956,2.0381,2.7675,1.2939,0.8016,2.8688,3.6373,0.0915,14.636,13.7092,1,1
2.9942,7.9643,0.1938,3.344,0.8792,1029.2641,0.0025,1.7265,1.0064,247.1671,319.2273,21.9733,0.1585,0.3895,2.3384,8.4059,0.2305,0.2721,0.0509,2.3982,0.1706,0.678,0.1423,6.5762,0.8678,0.0652,4.6142,16.2664,1,0
3.042,8.5164,0.1748,3.8691,1.2296,453.6347,0.0253,2.1826,0.3265,229.1939,179.5691,29.3687,3.8807,0.3409,11.4098,14.6555,0.598,0.5348,0.0828,2.9711,1.8953,1.2621,0.569,5.8748,9.0184,0.0559,0.5572,6.1786,1,0
3.5245,2.938,0.0649,3.7016,0.5409,517.5142,0.0211,1.43,1.035,216.7175,200.5234,29.9369,3.5028,1.5233,11.3054,2.7615,0.1669,0.2515,0.0756,1.8006,0.1639,0.385,0.0904,7.132,2.4356,0.0522,2.7791,4.3748,1,1
3.3319,1.3428,0.056,1.5527,0.8258,756.1891,0.0294,0.1217,0.4668,233.621,35.0485,12.1509,1.0442,0.5572,0.9227,6.9247,0.353,0.4421,0.1876,2.2387,3.0869,0.4049,1.0522,0.7632,5.6341,0.0649,14.8842,9.8528,1,1
1.0218,8.4108,0.1201,3.7176,0.4829,1638.2937,0.0109,2.4543,1.4046,86.7502,430.91,30.5113,0.246,2.4209,1.1073,8.6151,0.0133,0.3485,0.2216,1.9313,3.8578,0.821,0.153,3.8015,1.3189,0.0077,0.6747,7.3353,1,0
1.5792,2.3945,0.084,1.7023,0.7833,943.3966,0.0234,2.8718,0.248,399.0067,62.9108,1.4785,4.8787,0.2453,1.8458,9.1791,0.5245,0.1316,0.0101,1.9592,2.8474,0.9607,0.6564,3.9259,6.6524,0.0141,10.5075,15.7759,1,1
2.9398,5.346,0.0149,2.5019,1.6106,1631.011,0.0246,1.5608,0.4381,147.5566,318.8132,9.2335,4.4731,2.2582,2.2702,6.836,0.2844,0.1107,0.0135,2.3769,4.5787,0.0342,0.9863,5.9868,6.584,0.073,1.0115,14.0822,1,0
2.7593,4.3652,0.241,1.725,0.7299,466.0207,0.0191,0.3474,1.175,277.6411,321.5895,14.8596,1.8581,1.4145,0.9239,12.6898,0.4493,0.4116,0.1414,1.6904,3.9387,0.185,0.0386,7.7401,1.4371,0.0645,13.2879,19.4193,1,1
1.9914,2.9087,0.0504,4.1958,0.1856,1078.8068,0.0037,3.3042,1.3809,323.7705,290.944,6.4113,4.1115,1.2809,0.3274,1.7828,0.1076,0.4479,0.1188,2.0283,0.0766,0.0747,0.458,5.1482,5.8553,0.074,18.3141,8.9229,1,0
3.9548,1.4125,0.1535,2.4082,1.1811,265.9973,0.0215,1.8431,1.0441,423.982,167.2347,31.3413,5.604,2.0075,3.7588,0.1665,0.3397,0.0116,0.0059,1.7408,3.6442,0.4982,0.0728,0.3914,4.8728,0.0209,2.9092,5.5337,1,0
3.6732,9.3425,0.1797,4.1089,0.2923,1421.1186,0.0082,1.8936,0.9921,372.0261,68.8082,6.5162,3.5931,0.9528,10.6997,11.7783,0.1359,0.0187,0.0297,2.6618,4.4315,0.0539,0.8103,4.0365,1.9768,0.0924,0.8214,0.8715,1,1
3.7754,0.3459,0.1251,3.9707,0.1415,891.5949,0.0083,1.2567,0.3419,289.7249,247.516,1.5268,4.8169,1.6189,6.4113,12.7769,0.0353,0.2656,0.2794,1.4308,2.5045,0.4142,0.024,9.1925,5.5378,0.0216,9.5375,8.3535,1,1
2.4008,8.2372,0.1142,4.3894,0.5107,557.3126,0.0159,1.0667,1.0321,96.8707,48.409,5.0593,0.6181,1.1388,5.1036,6.9842,0.4367,0.5252,0.0174,1.7455,0.7559,1.0964,0.5689,2.3384,6.2025,0.073,6.8234,7.7487,1,1
3.0663,5.7097,0.1988,3.3234,0.5799,550.8356,0.0204,1.3708,1.0079,209.9428,284.252,31.1847,6.3218,1.3883,2.4993,13.5607,0.424,0.1355,0.2507,0.5534,2.7143,0.2685,1.4271,0.1067,7.6048,0.0969,5.0074,17.2982,1,0
1.8766,8.8615,0.0996,1.5515,0.5032,130.5113,0.0113,3.1655,0.0426,343.1705,290.3451,18.4151,2.8713,0.145,4.1816,9.3885,0.4775,0.2002,0.2929,1.7612,0.0931,0.7108,0.2526,1.738,3.531,0.0154,9.6317,14.4986,1,0
1.3722,6.0766,0.1868,4.3817,1.4208,1402.9929,0.0037,1.8568,0.9797,237.5058,69.0298,13.728,5.7938,1.481,0.7613,11.8698,0.3877,0.4704,0.2557,2.81,3.1338,0.481,0.1844,6.2959,6.1887,0.0942,5.2852,11.562,1,1
2.4115,4.6931,0.1221,0.5286,0.056,581.2175,0.028,1.0161,1.0712,390.7964,101.7018,9.2912,0.5789,1.3892,4.8477,7.1478,0.3307,0.0531,0.2954,1.4436,2.6719,0.9243,0.4237,7.6304,4.3138,0.0578,4.4058,13.8122,1,1
3.8327,1.4168,0.2045,2.2165,0.9939,1403.0496,0.0192,1.0155,1.227,173.8747,7.1283,24.2196,3.4111,2.2434,4.9046,10.2048,0.5813,0.1474,0.0783,2.7591,3.1322,0.1878,0.7596,0.8421,5.682,0.051,1.2101,12.6714,1,0
1.2669,9.286,0.096,3.705,0.3772,380.7531,0.0093,0.2388,0.4505,390.0643,262.3177,11.9201,6.5313,2.4642,9.2823,8.0452,0.3039,0.3727,0.1588,1.9549,2.6251,0.0669,0.0445,4.5461,3.2781,0.0663,7.4005,14.8727,1,1
2.1377,6.8886,0.1342,1.7597,0.1982,354.1929,0.0208,3.2115,0.9053,148.4345,17.53,6.9744,0.984,0.2656,9.8649,8.8877,0.5315,0.0104,0.0146,1.9417,4.9099,0.401,0.0371,5.6557,3.4626,0.0239,10.6692,15.5875,1,1
3.1056,6.7266,0.2513,3.1047,0.2782,1114.0397,0.0258,3.038,0.1348,352.5674,34.6566,27.6949,4.1117,0.3972,13.3807,14.0105,0.5692,0.351,0.1157,1.436,2.4068,0.0156,0.2639,5.9949,6.2935,0.0609,0.2283,17.1238,1,0
3.3833,2.7266,0.2392,3.1054,1.5426,1068.2886,0.0137,2.1675,0.159,342.6401,286.5627,18.9106,1.3023,1.7896,3.5971,7.0996,0.4122,0.0312,0.0266,1.5575,0.7207,0.183,0.8947,0.8434,3.6339,0.0467,10.7821,3.7635,1,0
3.1761,7.0726,0.1673,2.5908,0.2655,164.6763,0.0159,2.8791,0.7389,292.0336,379.9578,22.1103,5.3211,1.6919,14.9094,13.309,0.3023,0.1187,0.1629,2.8589,3.7221,0.0424,0.7934,0.6113,0.4084,0.0907,2.4623,18.2641,1,1
2.7379,5.5732,0.2871,4.2525,0.4409,1296.5796,0.0197,0.9466,1.3873,443.7086,386.397,5.5738,4.403,0.9975,6.0284,2.8264,0.0607,0.0731,0.2468,2.8693,3.3672,0.1692,0.4225,1.5382,1.2385,0.0554,5.6683,7.4351,1,1
3.9184,4.3765,0.0823,2.849,0.9168,498.7172,0.0038,1.745,0.2083,421.9187,197.5939,5.1215,2.6395,0.8227,5.2586,2.098,0.2092,0.4844,0.1694,2.2188,1.9722,0.5632,0.817,7.2836,0.7108,0.0483,0.559,12.9593,1,1
2.87,2.9343,0.2064,3.6435,0.2002,1394.9828,0.0099,2.2365,0.8578,282.9025,165.2762,13.9284,0.3056,2.2389,0.5302,8.2235,0.1368,0.2905,0.2011,2.4143,0.7029,1.2412,0.1237,1.5773,5.1458,0.0618,11.4667,13.1901,1,1
2.6201,6.9778,0.1842,1.7542,0.1144,881.1778,0.0142,0.7656,1.0133,324.7103,135.9737,5.7032,5.7254,2.276,0.6063,10.5294,0.1994,0.3532,0.1598,0.4884,1.2958,0.8784,0.1412,2.0421,2.1722,0.0653,19.6258,17.7184,1,0
